Title,Location,Date
Samay Raina Unfiltered - Los Angeles,Aratani Theatre,"Fri, 07 Feb"
3 Day Plant Sacrament Retreat / Divine Purpose,Los Angeles,06-08 Dec
New Year’s Eve Los Angeles Club Crawl,TBA,"Tue, 31 Dec"
3 Day Plant Sacrament Retreat / Winter Solstice Ceremony,Los Angeles,20-22 Dec
The 55 Strings Trio • Holiday in Paris,Community Auditorium • Church of Scn of the Valley,"Sun, 08 Dec"
Marina Grozdanovic Internationally Acclaimed Pianist Comes to NoHo!,Community Auditorium • Church of Scn of the Valley,"Sun, 18 May"
Makers Handmade Holiday Market,21800 Devonshire St,"Sun, 08 Dec"
Wags & Walks Holiday Market,Wags and Walks Adoption Center,"Sat, 07 Dec"
Winter Wonderland,3650 W Martin Luther King Jr Blvd,"Sat, 14 Dec"
Los Angeles Breakfast Club Holiday Market,Friendship Auditorium,"Wed, 04 Dec"
